n00007846   person
n04158002   scuttle
n04160372   seam
n04169597   selenium cell
n04170933   selvage
n04171831   semiconductor device
n04172342   semitrailer
n04172776   sentry box
n04174234   serial port
n04178190   seventy-eight
n04179824   sewing kit
n04180888   sextant
n04187233   sheathing
n04189816   Sheetrock
n04190052   shelf
n04192361   sheltered workshop
n04192698   shield
n04194127   shin guard
n04194289   ship
n04196502   shipping
n04198355   shirtsleeve
n04198453   shirttail
n04199027   shoe
n04201297   shoji
n04205062   short iron
n04205318   short pants
n04207596   shouldered arch
n04208760   showboat
n04210390   shrine
n0421085   shunt
n04214282   sidecar
n04216963   sights
n04219424   silk
n04222210   single bed
n04224543   sister ship
n04226826   skeleton key
n04228581   ski boot
n04229107   skid lid
n04229480   skiff
n04230487   ski-plane
n04230603   ski pole
n04230808   skirt
n04232312   skybox
n04232800   skylight
n04233295   skywalk
n04234887   slate roof
n04236935   sleigh bell
n04238617   slide projector
n04240752   slipcover
n04241394   slipper
n04241573   slip ring
n04242704   slop basin
n04244379   sluice
n04244997   small boat
n04245508   small stores
n04246271   smocking
n04247011   smoke screen
n04248851   snare
n04251701   snowbank
n04252225   snowplow
n04255586   soda can
n04255670   soda fountain
n04255899   sod house
n04258618   solar telescope
n04262161   sounding board
n04263336   soup ladle
n04264765   space capsule
n04266968   spaghetti junction
n04267246   spandrel
n04273659   speed bump
n04275661   spike
n04278247   spinet
n04279172   spinning machine
n04280259   spiral spring
n04281998   splice
n04284572   sporran
n04289449   sprit
n04290507   spur gear
n04292080   square sail
n04292414   squash racket
n04292921   squeegee
n04293119   squeezer
n04294879   stable
n04295571   stacks
n04297098   stagecoach
n04297847   stair-carpet
n04298765   stake
n04299963   stamp
n04304215   starship
n04305572   stateroom
n04306592   stator
n04307419   stay
n04308084   stealth aircraft
n04308273   stealth bomber
n04309049   steam engine
n04309348   steamer
n04309833   steam iron
n04310018   steam locomotive
n04311004   steel arch bridge
n04312154   steelyard
n04314216   stencil
n04317420   stick
n04321453   stob
n04322801   stock car
n04325041   stock saddle
n04328329   storage battery
n04328703   storage ring
n04329681   storm cellar
n04330267   stove
n04330746   stovepipe
n04331277   straight chair
n04331639   straightener
n04332987   strap
n04335886   streetlight
n04339879   strip lighting
n04340750   strongbox
n04340935   stronghold
n04341686   structure
n04345201   study hall
n04346328   stupa
n04347754   submarine
n04348184   submersible
n04350458   suede cloth
n04350905   suit
n04351699   suiting
n04354182   sumo ring
n04355933   sunglass
n04358117   supercomputer
n04360798   support column
n04363412   surface-to-air missile system
n04364160   surge suppressor
n04367371   suture
n04371979   swing door
n04378956   tabi
n04379243   table
n04380916   table saw
n04381073   tablespoon
n04382438   taboret
n04383839   taffeta
n04385079   tailor-made
n04388162   tampon
n04388743   tank
n04389430   tankard
n04390483   tank shell
n04391838   tape
n04392764   tape drive
n04392985   tape player
n04393095   tape recorder
n04394630   tarmacadam
n04396808   tea bag
n04396902   tea ball
n04397261   teaching aid
n04398044   teapot
n04401828   telephone cord
n04402984   telephone wire
n04405762   television monitor
n04406817   telpherage
n04409384   tenement
n04409806   tennis racket
n04410565   tenpin
n04411264   tent
n04423845   thimble
n04426316   thong
n04427216   three-centered arch
n04428634   thriftshop
n04435653   tile roof
n04442441   toaster oven
n04442582   toasting fork
n04443164   tobacco pouch
n04450994   tongue
n04452848   tooth
n04454654   topgallant
n04455652   topsail
n04459610   toweling
n04459909   towel rail
n04462011   toy box
n04462240   toyshop
n04465050   tract house
n04465501   tractor
n04469813   tramway
n04471315   transformer
n04474187   transport ship
n04475496   trave
n04476259   tray
n04477725   treasure ship
n04484432   triode
n04485423   triptych
n04486616   troika
n04488742   trouser cuff
n04488857   trouser press
n04491388   truncheon
n04492749   truss bridge
n04493259   T-square
n04496726   tumble-dryer
n04498389   turban
n04502059   turret clock
n04504038   two-man tent
n04504141   two-piece
n04505470   typewriter keyboard
n04506289   uke
n04508163   undergarment
n04509171   undies
n04509417   unicycle
n04514648   upper berth
n04515003   upright
n04516116   urn
n04516672   utensil
n04517211   Uzi
n04517408   vacation home
n0452017   van
n04524941   velour
n04525584   Venetian blind
n04528079   verdigris
n04530566   vessel
n04531873   vest
n04532106   vestment
n04532504   vestry
n04533594   vicuna
n04534359   videotape
n04535252   villa
n04536866   violin
n04538403   viscose rayon
n04538552   vise
n04538878   visor
n04539053   visual display unit
n04539794   voile
n04541987   voting booth
n04542095   voting machine
n04545858   walkie-talkie
n04546081   walking shoe
n04550184   wardrobe
n04551055   warehouse
n04552097   war paint
n04555400   washstand
n04555700   wastepaper basket
n04555897   watch
n04556408   watch cap
n04556948   watchtower
n04557308   water-base paint
n04559994   water hazard
n04560804   water jug
n04561287   water meter
n04561422   water mill
n04563204   waterwheel
n04567746   weather ship
n04568557   web
n04570214   Wedgwood
n04571292   weight
n04572121   welder's mask
n04574999   wheel
n04575824   wheel and axle
n04576211   wheeled vehicle
n04577139   wherry
n04581829   wick
n04585980   Winchester
n04586932   wind instrument
n04587327   windjammer
n04589325   window box
n04591631   wine bar
n04592005   wine cask
n04592356   winepress
n04592596   wineskin
n04594828   wire cutter
n04595285   wire matrix printer
n04598582   woodwind
n04599124   woofer
n04600312   workbasket
n04602956   work-shirt
n04609651   X-ray machine
n04610013   yacht
n04611351   yardarm
n04613696   yurt
n04951875   sunniness
n04960582   coal black
n04968056   emerald
n04969952   purplish blue
n04970059   purple
n04970312   Tyrian purple
n04973291   beige
n05258627   spit curl
n05262422   soup-strainer
n05262534   mustachio
n05263183   stubble
n05427346   ganglion cell
n05467758   astrocyte
n05716342   lemon
n06209940   landscape
n06254669   medium
n06255081   vehicle
n06255613   paper
n06263369   press
n06266710   photojournalism
n06266878   news photography
n06267145   newspaper
n06267564   daily
n06267758   school newspaper
n06277280   television
n06278338   cable television
n06417096   breviary
n06470073   document
n06595351   magazine
n06616216   shoot-'em-up
n06892775   concert
n06998748   artwork
n07248320   book jacket
n07461050   three-day event
n07556406   comfort food
n07560652   fare
n07563800   liquid diet
n07564008   low-calorie diet
n07567707   meal
n07567980   kibble
n07568625   pea flour
n07574176   potluck
n07574426   refection
n07575226   business lunch
n07579575   entree
n07579688   piece de resistance
n07579787   plate
n07581249   antipasto
n07583066   guacamole
n07583978   alphabet soup
n07584593   broth
n07585107   chicken broth
n07586099   marmite
n07587206   turtle soup
n07588299   split-pea soup
n07588419   green pea
n07588574   lentil soup
n07591162   oyster stew
n07592768   ratatouille
n07593972   brownie mix
n07594066   cake mix
n07596160   icing sugar
n07597263   sweetmeat
n07598928   barley-sugar
n07599783   brittle
n07600506   candied fruit
n07605040   cotton candy
n07606058   jujube
n07607605   lollipop
n07607707   lozenge
n07609215   sugar candy
n07611046   compote
n07611148   dumpling
n07615052   Neapolitan ice cream
n07615460   strawberry ice cream
n07616487   ice-cream sundae
n07616590   split
n07619301   creme anglais
n07620597   Bavarian cream
n07620689   maraschino
n07639069   doughnut
n07642361   fish stick
n07642833   chowchow
n07643306   jelly
n07643891   orange marmalade
n07648913   buffalo wing
n07672914   margarine
n07678729   stuffing
n07679140   forcemeat
n07680655   grissino
n07680932   bun
n07681264   tea bread
n07681926   cracker
n07683039   graham bread
n07683360   bannock
n07683786   loaf of bread
n07684422   onion bread
n07685218   nut bread
n07685546   skillet bread
n07685730   rye bread
n07688757   corn dab
n07688898   hush puppy
n07689313   spoon bread
n07690739   popover
n07692517   bialy
n07692614   sweet roll
n07693889   onion bagel
n07694403   baking-powder biscuit
n07696403   sandwich plate
n07696527   butty
n07698401   bacon-lettuce-tomato sandwich
n07712748   corn chip
n07712856   tortilla chip
n07712959   nacho
n07713763   mustard
n07713895   cabbage
n07717070   winter squash
n07717858   turban squash
n07718671   gherkin
n07718920   artichoke heart
n07719058   Jerusalem artichoke
n07719330   bamboo shoot
n07719437   sprout
n07720875   bell pepper
n07721018   green pepper
n07721195   pimento
n07721456   chili
n07721942   cayenne
n07723177   shallot
n07724078   Bibb lettuce
n07724492   cos
n07724654   leaf lettuce
n07724943   bean
n07726095   chickpea
n07728181   string bean
n07728391   scarlet runner
n07728708   wax bean
n07729828   green soybean
n07730207   carrot
n07730320   carrot stick
n07730855   chicory
n07732302   hominy
n07732636   popcorn
n07732747   cress
n07733124   winter cress
n07733847   wild spinach
n07734555   tomatillo
n07735404   parsnip
n07735687   radish
n07737594   bunya bunya
n07740033   Cortland
n07741706   Stayman
n07742704   berry
n07743902   cranberry sauce
n07744246   currant
n07744682   red currant
n07744811   blackberry
n07746186   persimmon
n07747055   citrus
n07748276   satsuma
n07749969   grapefruit
n07752377   dried fruit
n07753743   passion fruit
n07754451   breadfruit
n07757990   sour cherry
n07758260   morello
n07759424   muscadine
n07760153   muscat
n07760501   Tokay
n07760859   custard apple
n07761954   pond apple
n07762114   papaw
n07763629   kiwi
n07765361   guava
n07765862   jaboticaba
n07768423   plantain
n07768694   pomegranate
n07769886   pulasan
n07770763   pumpkin seed
n07771212   walnut
n07772788   hazelnut
n07772935   coconut
n07774295   hickory nut
n07775197   sunflower seed
n07801508   oil cake
n07802152   timothy
n07803992   wheat germ
n07804543   brown rice
n07805731   petfood
n07808268   herring salad
n07809368   flavorer
n07814790   fennel
n07814925   ginger
n07815839   black pepper
n07816398   borage
n07818689   lemon balm
n07819769   nasturtium
n07819896   parsley
n07820960   summer savory
n07821758   thyme
n07822197   catsup
n07825496   pickle relish
n07827896   dill
n07830493   anchovy sauce
n07831146   carbonara
n07832099   plum sauce
n07832416   pesto
n07832592   ravigote
n07832741   remoulade sauce
n07835331   barbecue sauce
n07835457   hollandaise
n07835547   bearnaise
n07835823   bordelaise
n07836456   Chinese brown sauce
n07836600   blanc
n07837002   hot-fudge sauce
n07837912   gravy
n07838659   hunter's sauce
n07841037   egg white
n07841495   boiled egg
n07841800   Easter egg
n07842044   chocolate egg
n07842433   deviled egg
n07843220   fluffy omelet
n07845166   pasteurized milk
n07846359   evaporated milk
n07846688   semi-skimmed milk
n07847917   light cream
n07848771   clarified butter
n07848936   ghee
n07851641   triple cream
n07851926   process cheese
n07852045   bleu
n07852833   Camembert
n07855721   onion butter
n07856270   spread
n07858978   honey
n07859951   molasses
n07860103   sorghum
n07860447   maple syrup
n07860805   batter
n07860988   dough
n07861983   moo goo gai pan
n07863547   cannelloni
n07865196   chop suey
n07866277   rissole
n07866868   eggs Benedict
n07867421   fondue
n07868200   French toast
n07868955   gefilte fish
n07869391   hash
n07869937   kedgeree
n07871436   meatball
n07871720   Swedish meatball
n07871810   meat loaf
n07874531   poi
n07875693   fish loaf
n07876651   Scotch egg
n07879174   sukiyaki
n07879450   sushi
n07880751   taco
n07880880   chicken taco
n07880968   burrito
n07881625   refried beans
n07881800   beverage
n07884567   alcohol
n07886317   kava
n07887461   bock
n07888058   Oktoberfest
n07889814   bitter
n07890226   porter
n07890750   mead
n07891189   near beer
n07893642   champagne
n07894799   Chardonnay
n07895237   Bordeaux
n07896661   macon
n07896994   plonk
n07897116   retsina
n07899003   vin ordinaire
n07899292   sweet vermouth
n07899533   Chenin blanc
n07900958   sherry
n07901355   Marsala
n07902336   aqua vitae
n07903208   brandy
n07903208   brass
n07903731   Armagnac
n07905038   rum
n07905474   schnapps
n07905979   tequila
n07909811   orange liqueur
n07911371   mixed drink
n07911677   cocktail
n07914777   spritzer
n07915800   Rob Roy
n07916319   vodka martini
n07917507   Scotch and soda
n07917618   sling
n07918879   hot toddy
n07919165   zombie
n07920222   caffe latte
n07920872   mocha
n07921360   chocolate milk
n07922607   slug
n07924747   grapefruit juice
n07925423   papaya juice
n07926346   limeade
n07927197   soft drink
n07928887   root beer
n07928998   sarsaparilla
n07931280   wassail
n07931870   May wine
n07935043   souchong
n07935737   bottled water
n07936093   sugar water
n07936459   ice water
n07936548   soda water
n07938149   vitamin pill
n07938594   mold
n08182379   crowd
n08249459   concert band
n08539276   outskirts
n08571898   flea market
n08640531   resort
n08645104   scrubland
n08658309   soil horizon
n08659861   oilfield
n08663860   top
n08673039   kampong
n09191635   air bubble
n09205509   arete
n09218494   belay
n09248399   coastland
n09259219   crater
n09260907   cultivated land
n09295946   gulch
n09300306   gully
n09303008   hill
n09303528   hillside
n09308572   iceberg
n09315159   ion
n09331251   lakefront
n09337048   leak
n09339810   lithosphere
n09362945   mull
n09391386   photosphere
n09396465   point
n09403734   range
n09411189   riparian forest
n09411295   ripple mark
n09421031   saltpan
n09432283   shell
n09435739   sinkhole
n09439213   soapsuds
n09445289   steppe
n09451237   supernova
n09452760   swell
n09462600   troposphere
n09468604   valley
n09474010   wadi
n09480959   wormcast
n09537660   messiah
n09605110   number one
n09606009   adventurer
n09613118   contadino
n09615336   discussant
n09616573   enologist
n09635534   Black African
n09644657   Tatar
n09667358   Salish
n09668437   Shasta
n09675922   Gujarati
n09681234   Copt
n09686401   Eurasian
n09688233   Gael
n09690083   Algerian
n09692915   Herero
n09693982   Barbadian
n09695979   Byelorussian
n09697401   Central American
n09705784   Eritrean
n09720033   Lapp
n09720595   Lebanese
n09720842   Liberian
n09723067   Mexican-American
n09725653   Omani
n09725772   Pakistani
n09730204   Scandinavian
n09733459   Syrian
n09733793   Tahitian
n09734185   Tanzanian
n09734639   Tuareg
n09736945   Ugandan
n09737050   Ukranian
n09738400   American
n09740724   Anglo-American
n09744679   New Yorker
n09746936   Uruguayan
n09750282   Papuan
n09750641   Walloon
n09752519   Gemini
n09753792   Pisces
n09754217   abbess
n09760609   companion
n09761068   accomplice
n09763784   acquaintance
n09764732   action officer
n09771435   admirer
n09775907   aeronautical engineer
n09776346   affiliate
n09779790   agriculturist
n09789566   amputee
n09790482   analyst
n09791014   industry analyst
n09793946   angler
n09797873   Anzac
n09805324   archer
n09809925   arranger
n09814488   assemblywoman
n09817386   associate professor
n09820044   atheist
n09823153   auditor
n09823287   augur
n09824135   authoritarian
n09826605   aviatrix
n09827363   baby
n09828988   baby farmer
n09830194   back
n09836160   bullfighter
n09836519   matador
n09842288   basketweaver
n09842395   Basket Maker
n09842528   bass
n09843602   bather
n09843824   baton twirler
n09847267   beggarman
n09850760   berserker
n09854421   billiard player
n09856401   bird fancier
n09858299   blackmailer
n09861287   bluecoat
n09861599   bluestocking
n09865398   bond servant
n09866661   booster
n09877288   brother-in-law
n09877750   Brummie
n09878921   bull
n09881265   bursar
n09892262   capitalist
n09892513   captain
n09895701   caretaker
n09901502   catechumen
n09902851   celebrant
n09910374   charmer
n09915434   Cheops
n09917214   chief of staff
n09917345   chief petty officer
n09920283   choreographer
n09928845   clever Dick
n09930876   clown
n09931418   coach
n09935107   coiner
n09936825   colleen
n09941787   commander in chief
n09950457   compulsive
n09953350   confectioner
n09955944   rep
n09971273   countrywoman
n09971385   county agent
n09971839   courtier
n09972458   cover girl
n09972587   cow
n09981278   crown princess
n09982152   cuckold
n09982525   cultist
n09985809   cyberpunk
n09986700   Cynic
n09991867   darling
n09993252   dawdler
n09994673   deacon
n10000459   deist
n10000787   delegate
n10001764   demigod
n10013811   diocesan
n10015897   disbeliever
n10020366   divorcee
n10027590   double-crosser
n10030277   dramatist
n10036692   drum majorette
n10040945   eager beaver
n10041887   earner
n10042690   eavesdropper
n10044879   editor
n10048612   elder statesman
n10051861   emeritus
n10053439   empress
n10053808   employee
n10055566   encyclopedist
n10056611   end man
n10059067   enophile
n10067968   examiner
n10070711   exhibitionist
n10074841   extrovert
n10075299   eyewitness
n10077106   familiar
n10078131   fancier
n10080117   fascista
n10081204   Father
n10092488   first baseman
n10093818   fishmonger
n10095420   flapper
n10097842   flower girl
n10098517   flyweight
n10099002   folk poet
n10102800   forefather
n10105733   forward
n10106509   foster-mother
n10108018   foundress
n10111779   Freudian
n10112129   monk
n10118844   gambler
n10120330   garbage man
n10120671   gardener
n10126177   generator
n10134178   goat herder
n10137825   gondolier
n10138369   good guy
n10142747   grandma
n10144338   grass widower
n10145340   great grandchild
n10145902   great grandson
n10146927   greeter
n10152616   guru
n10159289   handyman
n10164492   head nurse
n10165448   hearer
n10167152   heavyweight
n10169419   hellion
n10174695   Highlander
n10181445   homeboy
n10185793   horseman
n10191001   hugger
n10196404   iceman
n10198437   idol
n10205714   infiltrator
n10207169   in-law
n10210911   interlocutor
n10212501   interpreter
n10218164   Jack of all trades
n10219453   janissary
n10222259   jilt
n10223177   jockey
n10227490   Junior
n10228592   justiciar
n10240235   know-it-all
n10241300   laborer
n10244913   land agent
n10247358   lass
n10248377   Jehovah's Witness
n10249459   lawman
n10249869   law student
n10257221   liberator
n10259780   lieutenant colonel
n10260473   lieutenant junior grade
n10265891   lister
n10266016   literary critic
n10267311   little brother
n10273064   failure
n10276477   lumper
n10279018   machinist
n10279778   madame
n10280674   magician
n10289039   man
n10290541   maniac
n10290919   manicurist
n10291822   man of action
n10293861   margrave
n10299250   master of ceremonies
n10302576   matriarch
n10304650   mechanical engineer
n10306595   melancholic
n10312287   meteorologist
n10313000   Metis
n10314054   middle-aged man
n10322238   misfit
n10323634   mistress
n10326776   modifier
n10332385   mother
n10333165   mother hen
n10340312   musician
n10343355   myope
n10345659   nark
n10359659   NOC
n10363445   noticer
n10369417   obscurantist
n10369699   obstetrician
n10373390   officiant
n10377291   Olympian
n10377542   omnivore
n10380499   Orangeman
n10380672   orator
n10382825   organist
n10383094   organization man
n10393909   painter
n10395828   Panchen Lama
n10405540   pater
n10405694   patient
n10406266   patriarch
n10411867   pederast
n10417682   personage
n10417969   persona non grata
n10420507   pet sitter
n10421470   pharmacist
n10432189   picnicker
n10435169   pipe smoker
n10438172   planner
n10438842   plasterer
n10448455   point woman
n10449664   policyholder
n10450303   politician
n10456070   poseuse
n10467395   President of the United States
n10471732   prima donna
n10473917   Prince of Wales
n10474645   principal
n10483799   prophetess
n10483890   prophet
n10491998   pudge
n10493199   punter
n10493685   puppeteer
n10493835   puppy
n10497645   quadruplet
n10499232   Quebecois
n10504206   radiologist
n10509063   reading teacher
n10509810   real estate broker
n10510245   rear admiral
n10516527   registered nurse
n10519126   anchorite
n10520286   Renaissance man
n10522759   rescuer
n10529231   rich person
n10530959   right-hander
n10533874   roadman
n10536416   rock star
n10539015   ropewalker
n10539160   rosebud
n10542608   runner
n10546633   sailor
n10548681   salesperson
n10556825   schlemiel
n10559288   schoolchild
n10559996   schoolmaster
n10565502   scrutineer
n10565667   scuba diver
n10569011   second lieutenant
n10574311   section hand
n10576962   selfish person
n10579549   senior vice president
n10585217   sexton
n10586903   shaver
n10588357   sheik
n10592811   shop steward
n10597505   signer
n10602119   sirrah
n10604380   skateboarder
n10610465   sleeper
n10629647   Spanish American
n10631309   Speaker
n10632576   specialist
n10633450   spectator
n10634849   speedskater
n10635788   sphinx
n10646140   stakeholder
n10646641   stalking-horse
n10649308   starter
n10654827   stepmother
n10654932   stepparent
n10657835   stock trader
n10665587   stud
n10671613   successor
n10673296   sugar daddy
n10679174   surgeon
n10682953   sweetheart
n10683675   swinger
n10685398   sylph
n10688356   tactician
n10702615   terror
n10708292   thinker
n10713686   toastmaster
n10722575   trainer
n10722965   traitor
n10723230   traitress
n10726786   traveling salesman
n10727171   trawler
n10728998   trier
n10730542   trooper
n10731732   truant
n10732010   trumpeter
n10732854   Tudor
n10733820   tutee
n10734963   tympanist
n10735173   typist
n10738111   unicyclist
n10741367   urchin
n10742005   usherette
n10747119   vegetarian
n10747965   venture capitalist
n10748506   vermin
n10750031   vicar
n10756148   viscount
n10756641   visionary
n10757050   visiting professor
n10758445   vizier
n10761326   voyeur
n10764622   walk-on
n10764719   wallah
n10766260   wanton
n10768903   washer
n10773665   welder
n10774329   westerner
n10780284   widow
n10781817   wimp
n10782471   winger
n10789415   wonder boy
n10789709   wonderer
n10805501   Zionist
n11487732   parhelion
n11536673   aquatic
n11537327   bryophyte
n11552806   annual
n11603835   macrozamia
n11608250   pine
n11612923   white pine
n11614039   whitebark pine
n11615812   swamp pine
n11617272   bristlecone pine
n11618079   Japanese red pine
n11619845   European larch
n11620016   Siberian larch
n11622184   Fraser fir
n11622591   Alpine fir
n11623105   cedar
n11623815   cedar of Lebanon
n11625003   Norway spruce
n11631985   Guadalupe cypress
n11632376   Mexican cypress
n11633284   Chilean cedar
n11635433   Oregon cedar
n11643835   arborvitae
n11644462   Oriental arborvitae
n11645914   araucaria
n11650558   yellowwood
n11653904   kahikatea
n11654293   rimu
n11666854   dicot
n11672269   bloomer
n11690455   petal
n11691857   lip
n11692265   perianth
n11704620   camphor tree
n11706761   avocado
n11708658   anise tree
n11712282   tulip tree
n11720891   water crowfoot
n11721337   lesser celandine
n11722982   aconite
n11724109   red baneberry
n11724660   pheasant's-eye
n11725480   Canada anemone
n11725821   wood anemone
n11726707   rue anemone
n11727358   meeting house
n11729478   clematis
n11731157   virgin's bower
n11733312   larkspur
n11736851   love-in-a-mist
n11741797   bayberry
n11752798   alpine clover
n11756669   wattle
n11758122   lightwood
n11759853   rain tree
n11769621   allamanda
n11780424   black calla
n11782036   alocasia
n11785276   friar's-cowl
n11785668   caladium
n11788727   golden pothos
n11791341   philodendron
n11792029   pothos
n11793403   yautia
n11795049   common duckweed
n11805956   sandwort
n11807108   mouse-ear chickweed
n11809094   maiden pink
n11814584   soapwort
n11815491   silene
n11816121   red campion
n11816829   bladder campion
n11818069   common chickweed
n11821184   ice plant
n11823436   tumbleweed
n11823756   prince's-feather
n11826569   bloodleaf
n11838916   bougainvillea
n11839568   four o'clock
n11844371   saguaro
n11845793   hedgehog cactus
n11846425   rainbow cactus
n11854479   crab cactus
n11855274   pokeweed
n11861853   winter purslane
n11865874   common caper
n11873182   horseradish
n11877283   kohlrabi
n11881189   shepherd's purse
n11882074   lady's smock
n11884384   sea kale
n11890884   bladderpod
n11896722   field mustard
n11897466   desert plume
n11902389   opium poppy
n11902982   Mexican poppy
n11905392   California poppy
n11925303   African daisy
n11930038   field wormwood
n11933546   bushy aster
n11933903   white prairie aster
n11935330   sea aster
n11943407   calendula
n11944196   thistle
n11945514   stemless carline thistle
n11956348   horseweed
n11959259   hawk's-beard
n11962272   coneflower
n11966617   seaside daisy
n11968519   dog fennel
n11968704   Joe-Pye weed
n11971927   Barberton daisy
n11978233   sunflower
n11978713   common sunflower
n11979354   Maximilian's sunflower
n11988132   goldfields
n11988596   tidytips
n11989869   oxeye daisy
n11990313   shasta daisy
n11990920   north island edelweiss
n11991263   blazing star
n11991549   dotted gayfeather
n11991777   dense blazing star
n11993675   Mojave aster
n11997032   rattlesnake root
n12000191   butterweed
n12002428   butterbur
n12004547   stevia
n12007766   Swan River everlasting
n12008487   black-eyed Susan
n12008749   cutleaved coneflower
n12013035   black salsify
n12020184   stokes' aster
n12020941   French marigold
n12022382   pyrethrum
n12023726   tansy
n12030654   crownbeard
n12036226   samara
n12038406   clustered bellflower
n12039317   tussock bellflower
n12043836   butterfly orchid
n12044467   aerides
n12046815   Bletilla striata
n12056217   lady's slipper
n12057211   yellow lady's slipper
n12059314   dendrobium
n12060546   phantom orchid
n12066018   bog rein orchid
n12069009   crested coral root
n12070583   twayblade
n12071477   lesser twayblade
n12074867   bee orchid
n12075010   fly orchid
n12076852   butterfly plant
n12077944   lesser butterfly orchid
n12078451   prairie white-fringed orchid
n12083847   screw augur
n12084890   stanhopea
n12090890   primrose
n12091953   polyanthus
n12092417   scarlet pimpernel
n12096089   whorled loosestrife
n12104734   goat grass
n12107970   foxtail
n12109365   toetoe
n12113195   feather reed grass
n12117017   crabgrass
n12120347   teff
n12129738   reed canary grass
n12142085   wheat
n12146311   zoysia
n12151170   galingale
n12153914   needle spike rush
n12154114   creeping spike rush
n12156679   bur reed
n12160857   acorn squash
n12161744   butternut squash
n12163279   white bryony
n12165758   squirting cucumber
n12167075   loofa
n12173912   rose mallow
n12178780   sorrel tree
n12185859   bush hibiscus
n12186554   Queensland hemp
n12192877   quandong
n12196694   kurrajong
n12200143   looking-glass plant
n12203896   white basswood
n12216215   smoke bush
n12222900   wheel tree
n12224978   casuarina
n12227658   tree heath
n12228229   winter heath
n12229887   marsh andromeda
n12236160   salal
n12237641   mountain laurel
n12246941   low-bush blueberry
n12256522   lesser wintergreen
n12256708   wild lily of the valley
n12264512   oak chestnut
n12270946   canyon oak
n12272883   shingle oak
n12273768   laurel oak
n12274358   bur oak
n12276110   water oak
n12282933   black birch
n12284821   common alder
n12287195   American hornbeam
n12294331   closed gentian
n12294871   great yellow gentian
n12296045   felwort
n12299640   toothbrush tree
n12303083   forsythia
n12304899   Oregon ash
n12305089   black ash
n12305293   manna ash
n12305475   red ash
n12305986   mountain ash
n12306089   pumpkin ash
n12307756   privet
n12312728   kangaroo paw
n12315060   Virginian witch hazel
n12315598   winter hazel
n12320627   pignut
n12321077   pecan
n12322099   mockernut
n12328398   loosestrife
n12333961   cattley guava
n12334293   gum tree
n12334891   eucalyptus
n12336092   red gum
n12336727   snow gum
n12337617   blue gum
n12337922   cider gum
n12338146   spotted gum
n12340581   water gum
n12343480   fuchsia
n12343753   lady's-eardrop
n12344283   evening primrose
n12346813   garland flower
n12351091   achira
n12353754   Abyssinian banana
n12358293   cardamom
n12360108   begonia
n12361946   rex begonia
n12369665   St Peter's wort
n12370174   mammee apple
n12374418   rockrose
n12384375   Jamaica honeysuckle
n12388858   dog violet
n12389932   long-spurred violet
n12399656   red mulberry
n12400720   jackfruit
n12402051   golden fig
n12405714   elm
n12408077   Siberian elm
n12413419   Florentine iris
n12413642   stinking iris
n12413880   German iris
n12416423   crocus
n12421137   hippeastrum
n12421467   narcissus
n12427757   Easter lily
n12428412   leopard lily
n12435649   wild garlic
n12435965   round-headed leek
n12437513   kniphofia
n12446200   mariposa
n12447891   desert mariposa tulip
n12449296   camas
n12449784   Leichtlin's camas
n12451070   European dogtooth
n12454159   tulip
n12467592   grassy death camas
n12469517   herb Paris
n12477401   sisal
n12480895   sansevieria
n12482893   Joshua tree
n12483841   Spanish dagger
n12484244   Our Lord's candle
n12485981   yellow jasmine
n12492106   golden shower tree
n12504570   false indigo
n12506991   kidney vetch
n12513172   butterfly pea
n12517077   parrot's beak
n12519563   crotalaria
n12521394   common broom
n12527738   coral tree
n12528109   kaffir boom
n12528974   Indian coral tree
n12530818   woodwaxen
n12543455   japanese clover
n12545865   winged pea
n12546420   white lupine
n12549799   millettia
n12550408   cowage
n12552309   sainfoin
n12559044   chaparral pea
n12573911   tipu
n12576695   bush vetch
n12587487   wax palm
n12588320   carnauba
n12590499   African oil palm
n12591017   cabbage palm
n12593122   cohune palm
n12597466   saw palmetto
n12599185   English plantain
n12602262   eriogonum
n12606545   spiderwort
n12610328   water hyacinth
n12617559   arrow grass
n12620546   hip
n12621619   sweetbrier
n12624568   japonica
n12627119   blackthorn
n12628356   red haw
n12629305   mountain avens
n12631637   yellow avens
n12634734   Siberian crab
n12634986   wild crab
n12642600   gean
n12647376   bird cherry
n12648045   peach
n12648693   Japanese plum
n12649065   flowering cherry
n12656685   black raspberry
n12659064   wild service tree
n12661538   woodruff
n12662772   coffee
n12664469   cinchona tree
n12665271   sweet woodruff
n12665857   yellow bedstraw
n12676703   trumpet honeysuckle
n12677612   snowberry
n12677841   coralberry
n12695144   mahogany
n12696492   neem
n12697514   satinwood
n12700088   Honduras mahogany
n12703716   goatsfoot
n12703856   violet wood sorrel
n12707199   rue
n12717072   ailanthus
n12717224   tree of heaven
n12719944   garden nasturtium
n12720200   bush nasturtium
n12721477   palo santo
n12723610   caltrop
n12726159   golden willow
n12726528   arctic willow
n12729164   shining willow
n12733428   swamp cottonwood
n12737383   Loranthaceae
n12737898   mistletoe
n12742290   akee
n12744387   litchi
n12749679   wahoo
n12751172   titi
n12753573   red maple
n12754003   Oregon maple
n12754468   vine maple
n12755727   Japanese maple
n12757816   American holly
n12761905   terebinth
n12765402   Brazilian pepper tree
n12766595   poison ash
n12766869   poison ivy
n12768369   horse chestnut
n12771597   American persimmon
n12772753   buckthorn
